,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
381,39,DENİZLİSPOR,RİZESPOR,0,1,2,0.4,1.4,21,13
382,39,KONYASPOR,KARAGÜMRÜK,5,1,1,0.4,0.75,12,9
383,39,ANTALYASPOR,GÖZTEPE,2,3,2,0.8,1.25,11,10
384,39,GENÇLERBİRLİĞİ,GALATASARAY,0,2,2,0.8,2.2,20,3
385,39,BAŞAKŞEHİR,ANKARAGÜCÜ,2,1,1,1.75,1,15,16
386,39,MALATYASPOR,KAYSERİSPOR,1,1,0,1.4,1,14,17
387,39,KASIMPAŞA,ALANYASPOR,3,0,1,0.5,1.6,18,6
388,39,FENERBAHÇE,ERZURUMSPOR,3,1,1,2.5,1.8,2,19
389,39,GAZİANTEP,SİVASSPOR,0,1,2,0.8,2.2,8,7
390,40,ERZURUMSPOR,KASIMPAŞA,0,1,2,1.8,1,19,16
391,40,ANKARAGÜCÜ,FENERBAHÇE,1,2,2,0.4,2.5,18,2
392,40,SİVASSPOR,BAŞAKŞEHİR,0,0,0,2.2,2,5,14
393,40,KAYSERİSPOR,GAZİANTEP,0,0,0,1.2,0.8,17,8
394,40,RİZESPOR,MALATYASPOR,0,4,2,1.8,1.4,12,15
395,40,HATAYSPOR,DENİZLİSPOR,1,0,1,1.6,0.4,7,21
396,40,GALATASARAY,BEŞİKTAŞ,3,1,1,2.6,2.2,3,1
397,40,KARAGÜMRÜK,GENÇLERBİRLİĞİ,5,1,1,0.5,0.8,10,20
398,40,GÖZTEPE,KONYASPOR,0,1,2,1.25,1,9,11
399,40,TRABZONSPOR,ANTALYASPOR,2,1,1,1.5,0.2,4,13
400,41,KONYASPOR,TRABZONSPOR,1,1,0,1.4,2,11,4
401,41,ALANYASPOR,ERZURUMSPOR,2,3,2,1.25,1.2,7,19
402,41,KASIMPAŞA,ANKARAGÜCÜ,3,1,1,1.5,0.2,15,18
403,41,FENERBAHÇE,SİVASSPOR,1,2,2,2.5,1.8,2,6
404,41,BAŞAKŞEHİR,KAYSERİSPOR,0,0,0,2.2,1.2,14,17
405,41,GAZİANTEP,RİZESPOR,4,5,2,0.8,1.2,8,12
406,41,MALATYASPOR,HATAYSPOR,1,1,0,1.4,2,13,5
407,41,DENİZLİSPOR,GALATASARAY,1,4,2,0.4,2.6,21,3
408,41,BEŞİKTAŞ,KARAGÜMRÜK,1,2,2,2,1,1,9
409,41,GENÇLERBİRLİĞİ,GÖZTEPE,5,3,1,0.8,1.25,20,10
410,42,ANKARAGÜCÜ,ALANYASPOR,0,1,2,0,0.5,19,7
411,42,SİVASSPOR,KASIMPAŞA,2,1,1,2.2,2.25,5,13
412,42,RİZESPOR,BAŞAKŞEHİR,0,2,2,1.2,1.8,12,15
413,42,HATAYSPOR,GAZİANTEP,0,1,2,1.6,0.8,6,9
414,42,KARAGÜMRÜK,DENİZLİSPOR,5,1,1,1.4,0.2,8,21
415,42,ANTALYASPOR,KONYASPOR,0,0,0,0.25,1.6,16,11
416,42,KAYSERİSPOR,FENERBAHÇE,1,2,2,1.2,2,17,3
417,42,GALATASARAY,MALATYASPOR,3,1,1,3,1.6,2,14
418,42,GÖZTEPE,BEŞİKTAŞ,1,2,2,1,1.8,10,1
419,42,TRABZONSPOR,GENÇLERBİRLİĞİ,2,1,1,2,1.2,4,20
